model,variable,scenario,available
AS-RCEC_TaiESM1_r1i1p1f1,prsn,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,prsn,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,prsn,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,siconc,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,siconc,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,siconc,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,siconc,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,siconc,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,siconc,ssp585,0
AS-RCEC_TaiESM1_r1i1p1f1,sfcwind,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,sfcwind,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,sfcwind,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,sfcwind,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,sfcwind,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,sfcwind,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,clt,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,clt,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,clt,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,clt,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,clt,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,clt,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,rsds,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,rsds,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,rsds,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,rsds,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,rsds,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,rsds,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,rlds,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,rlds,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,rlds,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,rlds,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,rlds,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,rlds,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,sst,historical,0
AS-RCEC_TaiESM1_r1i1p1f1,sst,ssp119,0
