"CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.tas.gn.20181126","Atlas.17"
"CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.tas.gn.20181126","Atlas.21"
"CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.tas.gn.20181126","Atlas.22"
"CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.tas.gn.20181126","Atlas.24"
"CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.tas.gn.20181126","Atlas.26"
"CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.tas.gn.20181126","Atlas.28"
"CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.day.tas.gn.20181126","Atlas.29"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.pr.gn.20200716","Atlas.13"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.pr.gn.20200716","Atlas.16"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.pr.gn.20200716","Atlas.17"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.pr.gn.20200716","Atlas.21"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.pr.gn.20200716","Atlas.22"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.pr.gn.20200716","Atlas.24"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.pr.gn.20200716","Atlas.26"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.pr.gn.20200716","Atlas.28"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.pr.gn.20200716","Atlas.29"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.pr.gn.20200716","CCBAtlas.1.1"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.tas.gn.20200716","Atlas.12"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.tas.gn.20200716","Atlas.13"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.tas.gn.20200716","Atlas.16"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.tas.gn.20200716","Atlas.17"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.tas.gn.20200716","Atlas.21"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.tas.gn.20200716","Atlas.22"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.tas.gn.20200716","Atlas.24"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.tas.gn.20200716","Atlas.26"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.tas.gn.20200716","Atlas.28"
"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical.r2i1p1f1.day.tas.gn.20200716","Atlas.29"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.Omon.tos.gn.20191107","Atlas.15"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.Omon.tos.gn.20191107","Atlas.28"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.pr.gn.20190826","Atlas.13"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.pr.gn.20190826","Atlas.16"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.pr.gn.20190826","Atlas.17"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.pr.gn.20190826","Atlas.21"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.pr.gn.20190826","Atlas.22"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.pr.gn.20190826","Atlas.24"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.pr.gn.20190826","Atlas.26"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.pr.gn.20190826","Atlas.28"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.pr.gn.20190826","Atlas.29"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.pr.gn.20190826","CCBAtlas.1.1"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.tas.gn.20190826","Atlas.12"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.tas.gn.20190826","Atlas.13"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.tas.gn.20190826","Atlas.16"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.tas.gn.20190826","Atlas.17"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.tas.gn.20190826","Atlas.21"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.tas.gn.20190826","Atlas.22"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.tas.gn.20190826","Atlas.24"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.tas.gn.20190826","Atlas.26"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.tas.gn.20190826","Atlas.28"
"CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.day.tas.gn.20190826","Atlas.29"
"CMIP6.CMIP.CCCR-IITM.IITM-ESM.historical.r1i1p1f1.day.pr.gn.20191226","Atlas.13"
"CMIP6.CMIP.CCCR-IITM.IITM-ESM.historical.r1i1p1f1.day.pr.gn.20191226","Atlas.16"
"CMIP6.CMIP.CCCR-IITM.IITM-ESM.historical.r1i1p1f1.day.pr.gn.20191226","Atlas.17"
"CMIP6.CMIP.CCCR-IITM.IITM-ESM.historical.r1i1p1f1.day.pr.gn.20191226","Atlas.21"
"CMIP6.CMIP.CCCR-IITM.IITM-ESM.historical.r1i1p1f1.day.pr.gn.20191226","Atlas.22"
"CMIP6.CMIP.CCCR-IITM.IITM-ESM.historical.r1i1p1f1.day.pr.gn.20191226","Atlas.24"
